timestamp,symbol,action,price,quantity,reason,mode,outcome,pnl
2020-02-14T00:00:00+00:00,USDJPY,BUY,109.78,91.094195,Golden cross: fast SMA crossed above slow SMA,raw,OPEN,0.00
2020-03-04T00:00:00+00:00,USDJPY,SELL,107.02,91.094195,Death cross: fast SMA crossed below slow SMA,raw,LOSS,-252.20
2020-03-24T00:00:00+00:00,USDJPY,BUY,110.85,90.21559,Golden cross: fast SMA crossed above slow SMA,raw,OPEN,0.00
2020-04-09T00:00:00+00:00,USDJPY,SELL,108.90,90.21559,Death cross: fast SMA crossed below slow SMA,raw,LOSS,-176.19
2020-05-20T00:00:00+00:00,USDJPY,BUY,107.83,92.740051,Golden cross: fast SMA crossed above slow SMA,raw,OPEN,0.00
2020-06-18T00:00:00+00:00,USDJPY,SELL,106.88,92.740051,Death cross: fast SMA crossed below slow SMA,raw,LOSS,-89.33
2020-07-07T00:00:00+00:00,USDJPY,BUY,107.38,93.129608,Golden cross: fast SMA crossed above slow SMA,raw,OPEN,0.00
2020-07-20T00:00:00+00:00,USDJPY,SELL,107.07,93.129608,Death cross: fast SMA crossed below slow SMA,raw,LOSS,-29.44
2020-08-17T00:00:00+00:00,USDJPY,BUY,106.57,93.833139,Golden cross: fast SMA crossed above slow SMA,raw,OPEN,0.00
2020-08-28T00:00:00+00:00,USDJPY,SELL,106.62,93.833139,Death cross: fast SMA crossed below slow SMA,raw,WIN,3.38
2020-09-11T00:00:00+00:00,USDJPY,BUY,106.16,94.196451,Golden cross: fast SMA crossed above slow SMA,raw,OPEN,0.00
2020-09-17T00:00:00+00:00,USDJPY,SELL,105.04,94.196451,Death cross: fast SMA crossed below slow SMA,raw,LOSS,-106.22
2020-10-06T00:00:00+00:00,USDJPY,BUY,105.73,94.584944,Golden cross: fast SMA crossed above slow SMA,raw,OPEN,0.00
2020-10-21T00:00:00+00:00,USDJPY,SELL,105.46,94.584944,Death cross: fast SMA crossed below slow SMA,raw,LOSS,-26.17
2020-11-19T00:00:00+00:00,USDJPY,BUY,103.91,96.235381,Golden cross: fast SMA crossed above slow SMA,raw,OPEN,0.00
2020-11-24T00:00:00+00:00,USDJPY,SELL,104.51,96.235381,Death cross: fast SMA crossed below slow SMA,raw,WIN,56.27
2021-01-14T00:00:00+00:00,USDJPY,BUY,103.85,96.288204,Golden cross: fast SMA crossed above slow SMA,raw,OPEN,0.00
2021-04-16T00:00:00+00:00,USDJPY,SELL,108.67,96.288204,Death cross: fast SMA crossed below slow SMA,raw,WIN,462.68
2021-05-07T00:00:00+00:00,USDJPY,BUY,109.07,91.685578,Golden cross: fast SMA crossed above slow SMA,raw,OPEN,0.00
2021-05-27T00:00:00+00:00,USDJPY,SELL,109.15,91.685578,Death cross: fast SMA crossed below slow SMA,raw,WIN,6.63
2021-05-31T00:00:00+00:00,USDJPY,BUY,109.93,90.970713,Golden cross: fast SMA crossed above slow SMA,raw,OPEN,0.00
2021-07-15T00:00:00+00:00,USDJPY,SELL,109.97,90.970713,Death cross: fast SMA crossed below slow SMA,raw,WIN,2.64
2021-08-13T00:00:00+00:00,USDJPY,BUY,110.42,90.562041,Golden cross: fast SMA crossed above slow SMA,raw,OPEN,0.00
2021-08-24T00:00:00+00:00,USDJPY,SELL,109.66,90.562041,Death cross: fast SMA crossed below slow SMA,raw,LOSS,-70.01
2021-08-31T00:00:00+00:00,USDJPY,BUY,109.96,90.940098,Golden cross: fast SMA crossed above slow SMA,raw,OPEN,0.00
2021-09-02T00:00:00+00:00,USDJPY,SELL,110.08,90.940098,Death cross: fast SMA crossed below slow SMA,raw,WIN,9.46
2021-09-07T00:00:00+00:00,USDJPY,BUY,109.84,91.042773,Golden cross: fast SMA crossed above slow SMA,raw,OPEN,0.00
2021-09-16T00:00:00+00:00,USDJPY,SELL,109.36,91.042773,Death cross: fast SMA crossed below slow SMA,raw,LOSS,-44.14
2021-09-29T00:00:00+00:00,USDJPY,BUY,111.55,89.648589,Golden cross: fast SMA crossed above slow SMA,raw,OPEN,0.00
2021-11-09T00:00:00+00:00,USDJPY,SELL,113.24,89.648589,Death cross: fast SMA crossed below slow SMA,raw,WIN,150.37
2021-11-19T00:00:00+00:00,USDJPY,BUY,114.30,87.488355,Golden cross: fast SMA crossed above slow SMA,raw,OPEN,0.00
2021-12-06T00:00:00+00:00,USDJPY,SELL,113.02,87.488355,Death cross: fast SMA crossed below slow SMA,raw,LOSS,-112.78
2021-12-23T00:00:00+00:00,USDJPY,BUY,114.14,87.611771,Golden cross: fast SMA crossed above slow SMA,raw,OPEN,0.00
2022-01-19T00:00:00+00:00,USDJPY,SELL,114.54,87.611771,Death cross: fast SMA crossed below slow SMA,raw,WIN,33.62
2022-02-04T00:00:00+00:00,USDJPY,BUY,114.98,86.974676,Golden cross: fast SMA crossed above slow SMA,raw,OPEN,0.00
2022-02-25T00:00:00+00:00,USDJPY,SELL,115.55,86.974676,Death cross: fast SMA crossed below slow SMA,raw,WIN,49.09
2022-03-09T00:00:00+00:00,USDJPY,BUY,115.74,86.399752,Golden cross: fast SMA crossed above slow SMA,raw,OPEN,0.00
2022-05-20T00:00:00+00:00,USDJPY,SELL,127.81,86.399752,Death cross: fast SMA crossed below slow SMA,raw,WIN,1041.85
